title,company,location,salary,level,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Senior Full Stack Developer,VNG Corporation,Hồ Chí Minh,40-60 triệu,Senior,https://www.topcv.vn/viec-lam/senior-full-stack-developer,2026-01-30T09:27:19.573552,40.0,60.0,VND,40.0,60.0,50.0
"Senior Backend Engineer (Go, Microservices)",Tiki,Hồ Chí Minh,45-70 triệu,Senior,"https://www.topcv.vn/viec-lam/senior-backend-engineer-(go,-microservices)",2026-01-30T09:27:19.573552,45.0,70.0,VND,45.0,70.0,57.5
Tech Lead Java Spring Boot,FPT Software,Hồ Chí Minh,50-80 triệu,Lead,https://www.topcv.vn/viec-lam/tech-lead-java-spring-boot,2026-01-30T09:27:19.573552,50.0,80.0,VND,50.0,80.0,65.0
Senior Mobile Developer (React Native),Shopee,Hồ Chí Minh,42-65 triệu,Senior,https://www.topcv.vn/viec-lam/senior-mobile-developer-(react-native),2026-01-30T09:27:19.573552,42.0,65.0,VND,42.0,65.0,53.5
Senior Frontend Developer (ReactJS),Sendo,Hồ Chí Minh,38-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-frontend-developer-(reactjs),2026-01-30T09:27:19.573552,38.0,55.0,VND,38.0,55.0,46.5
Backend Developer NodeJS/NestJS,Viettel Solutions,Hồ Chí Minh,25-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/backend-developer-nodejs/nestjs,2026-01-30T09:27:19.573552,25.0,40.0,VND,25.0,40.0,32.5
Full Stack Developer (Python/React),MOMO,Hồ Chí Minh,28-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/full-stack-developer-(python/react),2026-01-30T09:27:19.573552,28.0,45.0,VND,28.0,45.0,36.5
Mobile Developer (Flutter),Grab Vietnam,Hồ Chí Minh,30-48 triệu,Mid-level,https://www.topcv.vn/viec-lam/mobile-developer-(flutter),2026-01-30T09:27:19.573552,30.0,48.0,VND,30.0,48.0,39.0
"DevOps Engineer (AWS, K8s)",VinID,Hồ Chí Minh,32-50 triệu,Mid-level,"https://www.topcv.vn/viec-lam/devops-engineer-(aws,-k8s)",2026-01-30T09:27:19.573552,32.0,50.0,VND,32.0,50.0,41.0
"Data Engineer (Spark, Airflow)",Tyme Bank,Hồ Chí Minh,35-55 triệu,Mid-level,"https://www.topcv.vn/viec-lam/data-engineer-(spark,-airflow)",2026-01-30T09:27:19.573552,35.0,55.0,VND,35.0,55.0,45.0
"Senior AI Engineer (ML, Deep Learning)",VinBrain,Hà Nội,45-75 triệu,Senior,"https://www.topcv.vn/viec-lam/senior-ai-engineer-(ml,-deep-learning)",2026-01-30T09:27:19.573552,45.0,75.0,VND,45.0,75.0,60.0
Senior QA Automation Engineer,Viettel Digital,Hà Nội,35-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-qa-automation-engineer,2026-01-30T09:27:19.573552,35.0,55.0,VND,35.0,55.0,45.0
Blockchain Developer (Solidity),Sky Mavis,Hà Nội,50-90 triệu,Senior,https://www.topcv.vn/viec-lam/blockchain-developer-(solidity),2026-01-30T09:27:19.573552,50.0,90.0,VND,50.0,90.0,70.0
Senior Cloud Architect (Azure),CMC Corporation,Hà Nội,55-85 triệu,Senior,https://www.topcv.vn/viec-lam/senior-cloud-architect-(azure),2026-01-30T09:27:19.573552,55.0,85.0,VND,55.0,85.0,70.0
Principal Software Engineer,Base.vn,Hà Nội,60-100 triệu,Lead,https://www.topcv.vn/viec-lam/principal-software-engineer,2026-01-30T09:27:19.573552,60.0,100.0,VND,60.0,100.0,80.0
Backend Developer (Java Spring),Samsung Vietnam,Hà Nội,22-35 triệu,Mid-level,https://www.topcv.vn/viec-lam/backend-developer-(java-spring),2026-01-30T09:27:19.573552,22.0,35.0,VND,22.0,35.0,28.5
Frontend Developer (VueJS),VNPAY,Hà Nội,20-32 triệu,Mid-level,https://www.topcv.vn/viec-lam/frontend-developer-(vuejs),2026-01-30T09:27:19.573552,20.0,32.0,VND,20.0,32.0,26.0
iOS Developer (Swift),Zalo,Hà Nội,28-42 triệu,Mid-level,https://www.topcv.vn/viec-lam/ios-developer-(swift),2026-01-30T09:27:19.573552,28.0,42.0,VND,28.0,42.0,35.0
Android Developer (Kotlin),VietnamWorks,Hà Nội,26-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/android-developer-(kotlin),2026-01-30T09:27:19.573552,26.0,40.0,VND,26.0,40.0,33.0
"Data Analyst (Python, SQL)",Nielsen Vietnam,Hà Nội,18-30 triệu,Mid-level,"https://www.topcv.vn/viec-lam/data-analyst-(python,-sql)",2026-01-30T09:27:19.573552,18.0,30.0,VND,18.0,30.0,24.0
Junior Full Stack Developer,NashTech,Hồ Chí Minh,12-18 triệu,Junior,https://www.topcv.vn/viec-lam/junior-full-stack-developer,2026-01-30T09:27:19.573552,12.0,18.0,VND,12.0,18.0,15.0
Junior Backend Developer (PHP),Saigon Technology,Hồ Chí Minh,10-16 triệu,Junior,https://www.topcv.vn/viec-lam/junior-backend-developer-(php),2026-01-30T09:27:19.573552,10.0,16.0,VND,10.0,16.0,13.0
Frontend Developer Fresher (React),Orient Software,Hồ Chí Minh,8-14 triệu,Junior,https://www.topcv.vn/viec-lam/frontend-developer-fresher-(react),2026-01-30T09:27:19.573552,8.0,14.0,VND,8.0,14.0,11.0
Junior QA Engineer,KMS Technology,Hồ Chí Minh,9-15 triệu,Junior,https://www.topcv.vn/viec-lam/junior-qa-engineer,2026-01-30T09:27:19.573552,9.0,15.0,VND,9.0,15.0,12.0
Junior DevOps Engineer,Axon Active,Hồ Chí Minh,11-17 triệu,Junior,https://www.topcv.vn/viec-lam/junior-devops-engineer,2026-01-30T09:27:19.573552,11.0,17.0,VND,11.0,17.0,14.0
Fresher Java Developer,LG CNS Vietnam,Hà Nội,8-12 triệu,Junior,https://www.topcv.vn/viec-lam/fresher-java-developer,2026-01-30T09:27:19.573552,8.0,12.0,VND,8.0,12.0,10.0
Junior .NET Developer,Hitachi Vantara,Hà Nội,10-15 triệu,Junior,https://www.topcv.vn/viec-lam/junior-.net-developer,2026-01-30T09:27:19.573552,10.0,15.0,VND,10.0,15.0,12.5
Junior Mobile Developer,Katalon,Hà Nội,12-18 triệu,Junior,https://www.topcv.vn/viec-lam/junior-mobile-developer,2026-01-30T09:27:19.573552,12.0,18.0,VND,12.0,18.0,15.0
Fresher Data Analyst,Bizzi Vietnam,Hà Nội,7-12 triệu,Junior,https://www.topcv.vn/viec-lam/fresher-data-analyst,2026-01-30T09:27:19.573552,7.0,12.0,VND,7.0,12.0,9.5
Junior Python Developer,Sendo Technology,Hà Nội,9-14 triệu,Junior,https://www.topcv.vn/viec-lam/junior-python-developer,2026-01-30T09:27:19.573552,9.0,14.0,VND,9.0,14.0,11.5
