title,company,location,salary,level,skills,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Senior Full Stack Developer,VNG Corporation,Ho Chi Minh,40-60 trieu,Senior,"React, Node.js, MongoDB, AWS",https://www.topcv.vn/viec-lam/senior-full-stack-developer,2026-01-30T09:32:28.075604,40.0,60.0,VND,40.0,60.0,50.0
"Senior Backend Engineer (Go, Microservices)",Tiki,Ho Chi Minh,45-70 trieu,Senior,"Go, Microservices, Kubernetes, Redis","https://www.topcv.vn/viec-lam/senior-backend-engineer-(go,-microservices)",2026-01-30T09:32:28.075604,45.0,70.0,VND,45.0,70.0,57.5
Tech Lead Java Spring Boot,FPT Software,Ho Chi Minh,50-80 trieu,Lead,"Java, Spring Boot, MySQL, Docker",https://www.topcv.vn/viec-lam/tech-lead-java-spring-boot,2026-01-30T09:32:28.075604,50.0,80.0,VND,50.0,80.0,65.0
Senior Mobile Developer (React Native),Shopee,Ho Chi Minh,42-65 trieu,Senior,"React Native, TypeScript, Redux",https://www.topcv.vn/viec-lam/senior-mobile-developer-(react-native),2026-01-30T09:32:28.075604,42.0,65.0,VND,42.0,65.0,53.5
Senior Frontend Developer (ReactJS),Sendo,Ho Chi Minh,38-55 trieu,Senior,"React, JavaScript, HTML/CSS, Git",https://www.topcv.vn/viec-lam/senior-frontend-developer-(reactjs),2026-01-30T09:32:28.075604,38.0,55.0,VND,38.0,55.0,46.5
Backend Developer NodeJS/NestJS,Viettel Solutions,Ho Chi Minh,25-40 trieu,Mid-level,"Node.js, NestJS, PostgreSQL",https://www.topcv.vn/viec-lam/backend-developer-nodejs/nestjs,2026-01-30T09:32:28.075604,25.0,40.0,VND,25.0,40.0,32.5
Full Stack Developer (Python/React),MOMO,Ho Chi Minh,28-45 trieu,Mid-level,"Python, Django, React, Docker",https://www.topcv.vn/viec-lam/full-stack-developer-(python/react),2026-01-30T09:32:28.075604,28.0,45.0,VND,28.0,45.0,36.5
Mobile Developer (Flutter),Grab Vietnam,Ho Chi Minh,30-48 trieu,Mid-level,"Flutter, Dart, Firebase",https://www.topcv.vn/viec-lam/mobile-developer-(flutter),2026-01-30T09:32:28.075604,30.0,48.0,VND,30.0,48.0,39.0
"DevOps Engineer (AWS, K8s)",VinID,Ho Chi Minh,32-50 trieu,Mid-level,"AWS, Kubernetes, Terraform, Jenkins","https://www.topcv.vn/viec-lam/devops-engineer-(aws,-k8s)",2026-01-30T09:32:28.075604,32.0,50.0,VND,32.0,50.0,41.0
"Data Engineer (Spark, Airflow)",Tyme Bank,Ho Chi Minh,35-55 trieu,Mid-level,"Spark, Airflow, Python, SQL","https://www.topcv.vn/viec-lam/data-engineer-(spark,-airflow)",2026-01-30T09:32:28.075604,35.0,55.0,VND,35.0,55.0,45.0
"Senior AI Engineer (ML, Deep Learning)",VinBrain,Ha Noi,45-75 trieu,Senior,"Python, TensorFlow, PyTorch, ML","https://www.topcv.vn/viec-lam/senior-ai-engineer-(ml,-deep-learning)",2026-01-30T09:32:28.075604,45.0,75.0,VND,45.0,75.0,60.0
Senior QA Automation Engineer,Viettel Digital,Ha Noi,35-55 trieu,Senior,"Selenium, Java, TestNG, CI/CD",https://www.topcv.vn/viec-lam/senior-qa-automation-engineer,2026-01-30T09:32:28.075604,35.0,55.0,VND,35.0,55.0,45.0
