title,company,location,salary,level,url,crawled_at
Senior Full Stack Developer,VNG Corporation,Hồ Chí Minh,40-60 triệu,Senior,https://www.topcv.vn/viec-lam/senior-full-stack-developer,2026-01-30T09:27:19.573552
"Senior Backend Engineer (Go, Microservices)",Tiki,Hồ Chí Minh,45-70 triệu,Senior,"https://www.topcv.vn/viec-lam/senior-backend-engineer-(go,-microservices)",2026-01-30T09:27:19.573552
Tech Lead Java Spring Boot,FPT Software,Hồ Chí Minh,50-80 triệu,Lead,https://www.topcv.vn/viec-lam/tech-lead-java-spring-boot,2026-01-30T09:27:19.573552
Senior Mobile Developer (React Native),Shopee,Hồ Chí Minh,42-65 triệu,Senior,https://www.topcv.vn/viec-lam/senior-mobile-developer-(react-native),2026-01-30T09:27:19.573552
Senior Frontend Developer (ReactJS),Sendo,Hồ Chí Minh,38-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-frontend-developer-(reactjs),2026-01-30T09:27:19.573552
Backend Developer NodeJS/NestJS,Viettel Solutions,Hồ Chí Minh,25-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/backend-developer-nodejs/nestjs,2026-01-30T09:27:19.573552
Full Stack Developer (Python/React),MOMO,Hồ Chí Minh,28-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/full-stack-developer-(python/react),2026-01-30T09:27:19.573552
Mobile Developer (Flutter),Grab Vietnam,Hồ Chí Minh,30-48 triệu,Mid-level,https://www.topcv.vn/viec-lam/mobile-developer-(flutter),2026-01-30T09:27:19.573552
"DevOps Engineer (AWS, K8s)",VinID,Hồ Chí Minh,32-50 triệu,Mid-level,"https://www.topcv.vn/viec-lam/devops-engineer-(aws,-k8s)",2026-01-30T09:27:19.573552
"Data Engineer (Spark, Airflow)",Tyme Bank,Hồ Chí Minh,35-55 triệu,Mid-level,"https://www.topcv.vn/viec-lam/data-engineer-(spark,-airflow)",2026-01-30T09:27:19.573552
"Senior AI Engineer (ML, Deep Learning)",VinBrain,Hà Nội,45-75 triệu,Senior,"https://www.topcv.vn/viec-lam/senior-ai-engineer-(ml,-deep-learning)",2026-01-30T09:27:19.573552
Senior QA Automation Engineer,Viettel Digital,Hà Nội,35-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-qa-automation-engineer,2026-01-30T09:27:19.573552
Blockchain Developer (Solidity),Sky Mavis,Hà Nội,50-90 triệu,Senior,https://www.topcv.vn/viec-lam/blockchain-developer-(solidity),2026-01-30T09:27:19.573552
Senior Cloud Architect (Azure),CMC Corporation,Hà Nội,55-85 triệu,Senior,https://www.topcv.vn/viec-lam/senior-cloud-architect-(azure),2026-01-30T09:27:19.573552
Principal Software Engineer,Base.vn,Hà Nội,60-100 triệu,Lead,https://www.topcv.vn/viec-lam/principal-software-engineer,2026-01-30T09:27:19.573552
Backend Developer (Java Spring),Samsung Vietnam,Hà Nội,22-35 triệu,Mid-level,https://www.topcv.vn/viec-lam/backend-developer-(java-spring),2026-01-30T09:27:19.573552
Frontend Developer (VueJS),VNPAY,Hà Nội,20-32 triệu,Mid-level,https://www.topcv.vn/viec-lam/frontend-developer-(vuejs),2026-01-30T09:27:19.573552
iOS Developer (Swift),Zalo,Hà Nội,28-42 triệu,Mid-level,https://www.topcv.vn/viec-lam/ios-developer-(swift),2026-01-30T09:27:19.573552
Android Developer (Kotlin),VietnamWorks,Hà Nội,26-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/android-developer-(kotlin),2026-01-30T09:27:19.573552
"Data Analyst (Python, SQL)",Nielsen Vietnam,Hà Nội,18-30 triệu,Mid-level,"https://www.topcv.vn/viec-lam/data-analyst-(python,-sql)",2026-01-30T09:27:19.573552
Junior Full Stack Developer,NashTech,Hồ Chí Minh,12-18 triệu,Junior,https://www.topcv.vn/viec-lam/junior-full-stack-developer,2026-01-30T09:27:19.573552
Junior Backend Developer (PHP),Saigon Technology,Hồ Chí Minh,10-16 triệu,Junior,https://www.topcv.vn/viec-lam/junior-backend-developer-(php),2026-01-30T09:27:19.573552
Frontend Developer Fresher (React),Orient Software,Hồ Chí Minh,8-14 triệu,Junior,https://www.topcv.vn/viec-lam/frontend-developer-fresher-(react),2026-01-30T09:27:19.573552
Junior QA Engineer,KMS Technology,Hồ Chí Minh,9-15 triệu,Junior,https://www.topcv.vn/viec-lam/junior-qa-engineer,2026-01-30T09:27:19.573552
Junior DevOps Engineer,Axon Active,Hồ Chí Minh,11-17 triệu,Junior,https://www.topcv.vn/viec-lam/junior-devops-engineer,2026-01-30T09:27:19.573552
Fresher Java Developer,LG CNS Vietnam,Hà Nội,8-12 triệu,Junior,https://www.topcv.vn/viec-lam/fresher-java-developer,2026-01-30T09:27:19.573552
Junior .NET Developer,Hitachi Vantara,Hà Nội,10-15 triệu,Junior,https://www.topcv.vn/viec-lam/junior-.net-developer,2026-01-30T09:27:19.573552
Junior Mobile Developer,Katalon,Hà Nội,12-18 triệu,Junior,https://www.topcv.vn/viec-lam/junior-mobile-developer,2026-01-30T09:27:19.573552
Fresher Data Analyst,Bizzi Vietnam,Hà Nội,7-12 triệu,Junior,https://www.topcv.vn/viec-lam/fresher-data-analyst,2026-01-30T09:27:19.573552
Junior Python Developer,Sendo Technology,Hà Nội,9-14 triệu,Junior,https://www.topcv.vn/viec-lam/junior-python-developer,2026-01-30T09:27:19.573552
Senior Full Stack Developer,Enouvo IT Solutions,Đà Nẵng,35-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-full-stack-developer,2026-01-30T09:27:19.573552
Mid-level Backend Developer,CBI Solutions,Đà Nẵng,22-35 triệu,Mid-level,https://www.topcv.vn/viec-lam/mid-level-backend-developer,2026-01-30T09:27:19.573552
Junior Frontend Developer,Enclave,Đà Nẵng,10-16 triệu,Junior,https://www.topcv.vn/viec-lam/junior-frontend-developer,2026-01-30T09:27:19.573552
Remote Senior Node.js Developer,Topica Native,Remote,40-65 triệu,Senior,https://www.topcv.vn/viec-lam/remote-senior-node.js-developer,2026-01-30T09:27:19.573552
Remote Mid-level React Developer,Golden Owl,Remote,25-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/remote-mid-level-react-developer,2026-01-30T09:27:19.573552
